,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
522,PAST SALE,April-30-2021,Condo/Co-op,2672 KENNEDY Blvd #104,JERSEY CITY,NJ,7306,189000.0,2.0,1.0,Jersey City (Journal Square),608.0,,,96.0,311.0,452.0,Sold,,HCMLS,202024831,Y,Y,40.7276508,-74.0702709
523,PAST SALE,April-17-2000,Condo/Co-op,437 Palisade Ave Unit 5F,Yonkers,NY,10703,275000.0,2.0,1.5,437 Palisade Ave Condomi,1100.0,,1973.0,110.0,250.0,509.0,Pending,,OneKey,H6106390,Y,Y,40.9494293,-73.8908103
525,MLS Listing,2025,Condo/Co-op,2323 Loring Pl N #8,BRONX,NY,10468,212000.0,2.0,1.0,2323 Loring Pl N Housing,960.0,,1912.0,96.0,221.0,,Active,,OneKey,3308372,Y,Y,40.8624599,-73.9081959
526,PAST SALE,March-22-2021,Townhouse,5110 Reno St,Philadelphia,PA,19139,75000.0,2.0,1.0,MILL CREEK,896.0,640.0,1920.0,135.0,84.0,,Sold,,BRIGHT MLS,PAPH965986,Y,Y,39.9663388,-75.2228084
527,PAST SALE,March-2-2021,Townhouse,532 E Indiana Ave,Philadelphia,PA,19134,86500.0,3.0,1.0,KENSINGTON,1120.0,832.0,1920.0,155.0,77.0,,Sold,,BRIGHT MLS,PAPH931348,Y,Y,39.9941389,-75.120722
528,MLS Listing,2025,Condo/Co-op,5612 Hudson Ave Unit 1A,West New York,NJ,7093,198995.0,3.0,1.0,West New York,674.0,,,154.0,295.0,,Contingent,,NJMLS,21007372,Y,Y,40.7846846,-74.0142917
529,PAST SALE,March-8-2021,Condo/Co-op,6414 PARK Ave #11,West New York,NJ,7093,190000.0,2.0,1.0,West New York,,,,149.0,,312.0,Sold,,HCMLS,202021859,Y,Y,40.7892649,-74.0055317
530,MLS Listing,2025,Single Family Residential,364 Bergen St,Newark City,NJ,07103-2202,219000.0,3.0,1.5,Newark City,,2613.0,2005.0,53.0,,,Active,,GSMLS,3719784,Y,Y,40.7322749,-74.1954962
531,PAST SALE,January-28-2021,Townhouse,3056 N Swanson St,Philadelphia,PA,19134,50000.0,4.0,1.0,HARROWGATE,980.0,637.0,1920.0,188.0,51.0,,Sold,,BRIGHT MLS,PAPH974060,Y,Y,39.9964476,-75.1283937
532,PAST SALE,February-4-2021,Townhouse,3237 Memphis St,Philadelphia,PA,19134,124900.0,2.0,1.0,PORT RICHMOND,741.0,969.0,1910.0,181.0,169.0,,Sold,,BRIGHT MLS,PAPH973628,Y,Y,39.9894119,-75.1055919
533,PAST SALE,February-5-2021,Townhouse,3118 N 8th St,Philadelphia,PA,19133,65500.0,3.0,2.0,PHILA (NORTH),1088.0,822.0,1925.0,180.0,60.0,,Sold,,BRIGHT MLS,PAPH973890,Y,Y,39.9992498,-75.1438323
534,MLS Listing,2025,Townhouse,2159 N Philip St,Philadelphia,PA,19122,160000.0,3.0,2.0,FISHTOWN,888.0,585.0,1920.0,335.0,180.0,,Active,,BRIGHT MLS,PAPH932094,Y,Y,39.9834979,-75.1370297
536,MLS Listing,2025,Townhouse,5838 Pemberton St,Philadelphia,PA,19143,264995.0,3.0,2.0,COBBS CREEK,1062.0,938.0,1925.0,42.0,250.0,,Active,,BRIGHT MLS,PAPH2003508,Y,Y,39.951399,-75.240077
537,PAST SALE,February-25-2021,Townhouse,3348 N Lee St,Philadelphia,PA,19134,50000.0,3.0,1.0,Philadelphia,1065.0,907.0,1935.0,160.0,47.0,,Sold,,BRIGHT MLS,PAPH972748,Y,Y,40.001232,-75.1282341
538,PAST SALE,May-14-2021,Townhouse,624 E Lippincott St,Philadelphia,PA,19134,67000.0,3.0,1.0,KENSINGTON,1064.0,713.0,1920.0,82.0,63.0,,Sold,,BRIGHT MLS,PAPH967018,Y,Y,39.996218,-75.118817
539,PAST SALE,July-19-2021,Townhouse,4826 Hawthorne St,Philadelphia,PA,19124,85000.0,2.0,1.0,FRANKFORD,944.0,2590.0,1925.0,16.0,90.0,,Sold,,BRIGHT MLS,PAPH1027748,Y,Y,40.01672,-75.0788615
540,PAST SALE,2025,Townhouse,3306 Kip St,Philadelphia,PA,19134,65000.0,3.0,1.0,,1061.0,862.0,1935.0,,61.0,,,,,,Y,Y,40.0000648,-75.1259079
541,PAST SALE,February-12-2021,Townhouse,3574 Jasper St,Philadelphia,PA,19134,79700.0,3.0,1.5,HARROWGATE,1089.0,853.0,1920.0,173.0,73.0,,Sold,,BRIGHT MLS,PAPH940582,Y,Y,39.9999696,-75.1033707
542,PAST SALE,January-22-2021,Townhouse,4208 N Fairhill St,Philadelphia,PA,19140,80000.0,3.0,1.0,Philadelphia,1050.0,874.0,1940.0,194.0,76.0,,Sold,,BRIGHT MLS,PAPH968216,Y,Y,40.0155464,-75.1366263
543,PAST SALE,2025,Townhouse,3054 Coral St,Philadelphia,PA,19134,71000.0,2.0,1.0,PORT RICHMOND,800.0,714.0,1910.0,630.0,89.0,,Pending,,BRIGHT MLS,PAPH849888,Y,Y,39.9910329,-75.1131434
544,PAST SALE,March-17-2004,Townhouse,2914 Rutledge St,Philadelphia,PA,19134,8000.0,2.0,1.0,KENSINGTON,,546.0,1934.0,6349.0,,,Sold,,BRIGHT MLS,PAPH181522,Y,Y,39.9935948,-75.1245438
545,PAST SALE,2025,Townhouse,2647 N Reese St,Philadelphia,PA,19133,,3.0,1.0,,990.0,826.0,1920.0,,,,,,,,Y,Y,39.9914627,-75.1408101
546,PAST SALE,2025,Townhouse,3067 Potter St,Philadelphia,PA,19134,60500.0,3.0,1.0,,840.0,630.0,1920.0,,72.0,,,,,,Y,Y,39.994796,-75.117242
547,PAST SALE,May-13-2021,Townhouse,3131 Weymouth St,Philadelphia,PA,19134,39900.0,3.0,1.0,KENSINGTON,1120.0,684.0,1920.0,83.0,36.0,,Sold,,BRIGHT MLS,PAPH949332,Y,Y,39.9959926,-75.1169678
548,PAST SALE,July-29-2021,Townhouse,740 E Willard St,Philadelphia,PA,19134,90000.0,3.0,1.0,KENSINGTON,1110.0,750.0,1920.0,6.0,81.0,,Sold,,BRIGHT MLS,PAPH1019668,Y,Y,39.9979299,-75.115964
549,PAST SALE,February-9-2021,Townhouse,1861 E Wishart St,Philadelphia,PA,19134,53250.0,2.0,1.0,KENSINGTON,980.0,735.0,1920.0,176.0,54.0,,Sold,,BRIGHT MLS,PAPH965936,Y,Y,39.9950464,-75.1128852
550,PAST SALE,January-6-2021,Townhouse,113 E Lippincott St,Philadelphia,PA,19134,53000.0,3.0,1.5,KENSINGTON,1120.0,686.0,1920.0,210.0,47.0,,Sold,,BRIGHT MLS,PAPH967104,Y,Y,39.9976941,-75.1289739
551,PAST SALE,2025,Townhouse,229 E Westmoreland St,Philadelphia,PA,19134,,3.0,1.0,,1209.0,1085.0,1935.0,,,,,,,,Y,Y,39.999916,-75.1260549
552,PAST SALE,March-12-2021,Townhouse,4013 N 8th St,Philadelphia,PA,19140,70000.0,4.0,2.0,HUNTING PARK,1260.0,1110.0,1920.0,145.0,56.0,,Sold,,BRIGHT MLS,PAPH942834,Y,Y,40.0129572,-75.1404735
553,PAST SALE,2025,Townhouse,3662 N Marvine St,Philadelphia,PA,19140,,4.0,1.0,,1534.0,1533.0,1925.0,,,,,,,,Y,Y,40.0084609,-75.146963
554,PAST SALE,March-22-2021,Townhouse,5141 Reno St,Philadelphia,PA,19139,75000.0,2.0,1.0,MILL CREEK,896.0,630.0,1920.0,135.0,84.0,,Sold,,BRIGHT MLS,PAPH965328,Y,Y,39.966464,-75.223585
556,PAST SALE,December-31-2020,Townhouse,729 E Thayer St,Philadelphia,PA,19134,65000.0,3.0,1.0,Philadelphia,1302.0,1018.0,1920.0,216.0,50.0,,Sold,,BRIGHT MLS,PAPH923936,Y,Y,39.9996604,-75.1159007
559,MLS Listing,2025,Townhouse,1521 Carswell St,Baltimore,MD,21218,170000.0,4.0,2.5,Ward 9,,,1920.0,20.0,,,Active,August-7-2021 03:00 PM,BRIGHT MLS,MDBA553078,Y,Y,39.3229363,-76.5963054
