SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),293 Hunterdon St,Newark,NJ,7103,450000,6,3,Newark,,3572,,9,,,Active,,,http://www.redfin.com/NJ/Newark/293-Hunterdon-St-07103/home/36233843,NJMLS,21030397,Y,Y,40.7346194,-74.1941858
MLS Listing,,Multi-Family (2-4 Unit),402 Morse Ave,Ridgefield,NJ,7657,549000,5,2,Ridgefield,,3999,,9,,,Active,,,http://www.redfin.com/NJ/Ridgefield/402-Morse-Ave-07657/home/35836021,NJMLS,21030326,Y,Y,40.8286543,-74.0070829
MLS Listing,,Multi-Family (2-4 Unit),908 TONNELLE Ave,North Bergen,NJ,7047,499000,5,3,North Bergen,,,,13,,,Active,,,http://www.redfin.com/NJ/North-Bergen/908-Tonnelle-Ave-07047/home/36593130,HCMLS,210017546,Y,Y,40.762452,-74.049159
MLS Listing,,Multi-Family (2-4 Unit),720 7TH St,Union City,NJ,7087,599999,6,3,Union City,,,,15,,,Active,,,http://www.redfin.com/NJ/Union-City/720-7th-St-07087/home/36614627,HCMLS,210017365,Y,Y,40.758156,-74.0429772
MLS Listing,,Multi-Family (2-4 Unit),35-53 Kent St,Newark City,NJ,07108-1627,475000,6,4.5,Newark City,,3049,2007,14,,,Active,,,http://www.redfin.com/NJ/Newark/35-Kent-St-07108/home/40493087,GSMLS,3728995,Y,Y,40.730067,-74.2029325
MLS Listing,,Multi-Family (2-4 Unit),13 WOODLAWN Ave,JERSEY CITY,NJ,7305,490000,7,2,Jersey City (Greenville),,,,14,,,Active,,,http://www.redfin.com/NJ/Jersey-City/13-Woodlawn-Ave-07305/home/36539941,HCMLS,210017443,Y,Y,40.6995187,-74.0818972
PAST SALE,,Single Family Residential,251 Schley St,Newark,NJ,7112,269000,,,,3076,2962,1927,,87,,,,,http://www.redfin.com/NJ/Newark/251-Schley-St-07112/home/36291688,,,Y,Y,40.7128747,-74.2236866
PAST SALE,,Single Family Residential,127 Randolph Ave,Jersey City,NJ,7305,16000,,,,2210,3123,,,7,,,,,http://www.redfin.com/NJ/Jersey-City/127-Randolph-Ave-07305/home/36575873,,,Y,Y,40.7083227,-74.0739123
PAST SALE,April-7-2021,Multi-Family (2-4 Unit),362-364 S 7th St,Newark,NJ,7103,400000,6,3,Newark,,3450,,119,,,Sold,,,http://www.redfin.com/NJ/Newark/362-S-7th-St-07103/home/36235490,NJMLS,21000487,Y,Y,40.736073,-74.199037
MLS Listing,,Multi-Family (2-4 Unit),236 Day Ave,Cliffside Park,NJ,7010,595000,4,3,Cliffside Park,,3999,,26,,,Active,,,http://www.redfin.com/NJ/Cliffside-Park/236-Day-Ave-07010/home/35686290,NJMLS,21028055,Y,Y,40.8118091,-73.9945957
MLS Listing,,Single Family Residential,744 Greeley Ave,Fairview,NJ,7022,459900,4,2.5,Fairview,,5458,,280,,,Active,,,http://www.redfin.com/NJ/Fairview/744-Greeley-Ave-07022/home/35901402,NJMLS,20045669,Y,Y,40.8240026,-74.0074922
MLS Listing,,Single Family Residential,498 Martling Pl,Ridgefield,NJ,7657,470000,4,2.5,Ridgefield,,3376,,16,,,Active,,,http://www.redfin.com/NJ/Ridgefield/498-Martling-Pl-07657/home/35835446,NJMLS,21029262,Y,Y,40.825309,-73.9979012
MLS Listing,,Multi-Family (2-4 Unit),567 Studio Rd,Ridgefield,NJ,7657,499000,5,3,Ridgefield,,4761,,264,,,Active,,,http://www.redfin.com/NJ/Ridgefield/567-Studio-Rd-07657/home/35834934,NJMLS,20048058,Y,Y,40.8288206,-73.9965698
MLS Listing,,Multi-Family (2-4 Unit),226 7th St,Palisades Park,NJ,7650,589000,4,3,Palisades Park,,2500,,203,,,Active,August-8-2021 12:00 PM,August-8-2021 02:00 PM,http://www.redfin.com/NJ/Palisades-Park/226-7th-St-07650/home/35907922,NJMLS,21001399,Y,Y,40.8426101,-73.9924379
MLS Listing,,Multi-Family (2-4 Unit),20 Edwin Pl,Newark City,NJ,07112-1522,349000,9,3,Newark City,19998,3049,1970,40,17,,Active,,,http://www.redfin.com/NJ/Newark/20-Edwin-Pl-07112/home/36280282,GSMLS,3723200,Y,Y,40.7153221,-74.2158805
MLS Listing,,Multi-Family (2-4 Unit),304-306 Renner Ave,Newark,NJ,7112,499900,10,3,Newark,,5898,,11,,,Active,,,http://www.redfin.com/NJ/Newark/304-306-Renner-Ave-07112/home/36284825,NJMLS,21030231,Y,Y,40.7138095,-74.21204
MLS Listing,,Single Family Residential,124 ORIENT Ave,JERSEY CITY,NJ,7305,400000,5,3,Jersey City (Greenville),,,,13,,,Active,,,http://www.redfin.com/NJ/Jersey-City/124-Orient-Ave-07305/home/36574233,HCMLS,210017568,Y,Y,40.7118174,-74.0812748
MLS Listing,,Multi-Family (2-4 Unit),48 BERGEN Ave,JERSEY CITY,NJ,7305,450000,4,2.5,Jersey City (Greenville),,,,70,,,Active,,,http://www.redfin.com/NJ/Jersey-City/48-Bergen-Ave-07305/home/36531876,HCMLS,210012758,Y,Y,40.7049259,-74.088184
MLS Listing,,Multi-Family (2-4 Unit),25 Hopkins Ave,Jersey City,NJ,7306,499900,4,3,Jersey City,,1800,,44,,,Active,,,http://www.redfin.com/NJ/Jersey-City/25-Hopkins-Ave-07306/home/36515727,NJMLS,21025008,Y,Y,40.7345792,-74.0518947
MLS Listing,,Multi-Family (2-4 Unit),127 62ND St,West New York,NJ,7093,575000,5,4,West New York,,,,15,,,Active,,,http://www.redfin.com/NJ/West-New-York/127-62nd-St-07093/home/36633991,HCMLS,210017374,Y,Y,40.7881561,-74.0084062
MLS Listing,,Single Family Residential,530 42ND St,Union City,NJ,7087,399000,5,3,Union City,,,,36,,,Active,,,http://www.redfin.com/NJ/Union-City/530-42nd-St-07087/home/36621338,HCMLS,210015702,Y,Y,40.7782152,-74.0262368
MLS Listing,,Multi-Family (2-4 Unit),625 38th St,Union City,NJ,7087,589900,5,2,Union City,,2500,,18,,,Active,,,http://www.redfin.com/NJ/Union-City/625-38th-St-07087/home/36622739,NJMLS,21029122,Y,Y,40.7767891,-74.0305401
MLS Listing,,Single Family Residential,116.5 CLINTON Ave,JERSEY CITY,NJ,7304,579998,5,1.5,Jersey City (Bergen-Lafayette),,,,12,,,Active,,,http://www.redfin.com/NJ/Jersey-City/116-5-Clinton-Ave-07304/home/175840616,HCMLS,210017710,Y,Y,40.7177726,-74.0764445
MLS Listing,,Single Family Residential,1215 89TH St,North Bergen,NJ,7047,549900,3,1.5,North Bergen,,,,43,,,Active,,,http://www.redfin.com/NJ/North-Bergen/1215-89th-St-07047/home/36603115,HCMLS,210015105,Y,Y,40.8106263,-74.0082765
PAST SALE,May-2-2018,Multi-Family (2-4 Unit),102-27 184th St,Jamaica,NY,11423,660000,6,3,Jamaica,,2000,1935,334,,,Pending,,,http://www.redfin.com/NY/Jamaica/102-27-184th-St-11423/home/103477873,OneKey,3249490,Y,Y,40.706515,-73.772964
MLS Listing,,Single Family Residential,257 S 6th St,Newark,NJ,7103,240000,3,1.5,Newark,,1973,,13,,,Active,,,http://www.redfin.com/NJ/Newark/257-S-6th-St-07103/home/36233950,NJMLS,21029877,Y,Y,40.7390234,-74.1975485
MLS Listing,,Multi-Family (2-4 Unit),117 Rutherford Pl,Kearny,NJ,7032,500000,6,2,Kearny,,4818,,22,,,Active,,,http://www.redfin.com/NJ/Kearny/117-Rutherford-Pl-07032/home/36585443,NJMLS,21028476,Y,Y,40.7798605,-74.1371399
MLS Listing,,Multi-Family (2-4 Unit),18 WINFIELD Ave,JERSEY CITY,NJ,7305,575000,6,2,Jersey City (Greenville),,,,15,,,Active,,,http://www.redfin.com/NJ/Jersey-City/18-Winfield-Ave-07305/home/36537849,HCMLS,210017352,Y,Y,40.6904295,-74.091442
PAST SALE,,Townhouse,153 Ada Dr,Staten Island,NY,10314,659999,5,4,Graniteville,2220,3225,1980,16,297,,Pending,,,http://www.redfin.com/NY/Staten-Island/153-Ada-Dr-10314/home/56016769,SIBORMLS,1147862,Y,Y,40.6208519,-74.1592163
MLS Listing,,Multi-Family (2-4 Unit),240 BOYD Ave,JERSEY CITY,NJ,7304,599000,6,3,Jersey City (West Bergen),,,,16,,,Active,,,http://www.redfin.com/NJ/Jersey-City/240-Boyd-Ave-07304/home/36549002,HCMLS,210017275,Y,Y,40.7198927,-74.089182
MLS Listing,,Multi-Family (2-4 Unit),30 Spruce St,Newark City,NJ,07102-1010,409000,4,2,Newark City,1998,1306,1915,83,205,,Active,,,http://www.redfin.com/NJ/Newark/30-Spruce-St-07102/home/36232546,GSMLS,3712145,Y,Y,40.727127,-74.180763
MLS Listing,,Multi-Family (2-4 Unit),222 71ST St,Guttenberg,NJ,7093,599999,5,2,Guttenberg,,,,22,,,Active,,,http://www.redfin.com/NJ/Guttenberg/222-71st-St-07093/home/36482146,HCMLS,210016797,Y,Y,40.7948499,-74.0058084
MLS Listing,,Multi-Family (2-4 Unit),420 TOURNADE Pl,Union City,NJ,7087,410000,6,3,Union City,,,,61,,,Active,,,http://www.redfin.com/NJ/Union-City/420-Tournade-Ln-07087/home/36616033,HCMLS,210013592,Y,Y,40.7597576,-74.0371121
MLS Listing,,Single Family Residential,664 Elm Ave,Ridgefield,NJ,7657,459000,4,2,Ridgefield,,7000,,91,,,Active,,,http://www.redfin.com/NJ/Ridgefield/664-Elm-Ave-07657/home/35833720,NJMLS,21017086,Y,Y,40.8363822,-73.9968912
MLS Listing,,Multi-Family (2-4 Unit),6202 JEFFERSON St,West New York,NJ,7093,470000,4,3,West New York,,,,20,,,Active,,,http://www.redfin.com/NJ/West-New-York/6202-Jefferson-St-07093/home/36640457,HCMLS,210016961,Y,Y,40.7931668,-74.0184212
MLS Listing,,Multi-Family (2-4 Unit),312 NEPTUNE Ave,JERSEY CITY,NJ,7305,518000,5,3,Jersey City (West Bergen),,,,41,,,Active,,,http://www.redfin.com/NJ/Jersey-City/312-Neptune-Ave-07305/home/36525434,HCMLS,210015270,Y,Y,40.6988058,-74.1002177
MLS Listing,,Multi-Family (2-4 Unit),111 GATES Ave,JERSEY CITY,NJ,7305,470000,6,2,Jersey City (Greenville),,,,37,,,Active,,,http://www.redfin.com/NJ/Jersey-City/111-Gates-Ave-07305/home/36536390,HCMLS,210015562,Y,Y,40.6911778,-74.0968222
MLS Listing,,Multi-Family (2-4 Unit),47 Winfield Ave,Jersey City,NJ,7305,499999,5,2,Jersey City,,2490,,64,,,Active,,,http://www.redfin.com/NJ/Jersey-City/47-Winfield-Ave-07305/home/36537732,NJMLS,21021569,Y,Y,40.6910243,-74.0925777
