,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
396,MLS Listing,69,Multi-Family (2-4 Unit),321 Myrtle Ave,Irvington,NJ,7111,349000.0,6.0,3.0,Irvington,69.0,4687.0,69.0,183.0,69.0,69.0,Contingent,69,69,http://www.redfin.com/NJ/Irvington/321-Myrtle-Ave-07111/home/36169657,NJMLS,21003821,Y,Y,40.7364219,-74.220661
397,PAST SALE,June-22-2021,Single Family Residential,543 55TH St,West New York,NJ,7093,430000.0,4.0,3.0,West New York,69.0,69.0,69.0,43.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/West-New-York/543-55th-St-07093/home/36639173,HCMLS,202027025,Y,Y,40.7861555,-74.0202099
398,PAST SALE,June-8-2021,Townhouse,138 Powell Ln,Upper Darby,PA,19082,140000.0,4.0,2.0,BARRINGTON,1414.0,2614.0,1925.0,57.0,99.0,69.0,Sold,69,69,http://www.redfin.com/PA/Upper-Darby/138-Powell-Ln-19082/home/38271404,BRIGHT MLS,PADE545080,Y,Y,39.9588413,-75.2528023
399,PAST SALE,69,Single Family Residential,8 Vincent St,Newark,NJ,7105,365000.0,69.0,69.0,69,2088.0,2235.0,1992.0,69.0,175.0,69.0,69,69,69,http://www.redfin.com/NJ/Newark/8-Vincent-St-07105/home/36270323,69,69,Y,Y,40.7319562,-74.1377821
400,PAST SALE,February-26-2021,Townhouse,2728 N Hope St,Philadelphia,PA,19133,49000.0,2.0,1.0,WEST KENSINGTON,828.0,600.0,1935.0,159.0,59.0,69.0,Sold,69,69,http://www.redfin.com/PA/Philadelphia/2728-Hope-St-19133/home/38200873,BRIGHT MLS,PAPH986158,Y,Y,39.9919,-75.1313605
401,PAST SALE,July-15-2021,Multi-Family (2-4 Unit),331 W Runyon St,Newark,NJ,7108,250000.0,4.0,2.0,Newark,69.0,3446.0,69.0,20.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/331-W-Runyon-St-07108/home/36278989,NJMLS,21004421,Y,Y,40.7198652,-74.2102974
402,PAST SALE,69,Single Family Residential,591 67th St,West New York,NJ,7093,460000.0,69.0,69.0,69,1733.0,2200.0,1919.0,69.0,265.0,69.0,69,69,69,http://www.redfin.com/NJ/West-New-York/591-67th-St-07093/home/36642274,69,69,Y,Y,40.7952207,-74.0155641
403,PAST SALE,April-12-2021,Multi-Family (2-4 Unit),148 4th Ave,Newark,NJ,7104,420000.0,6.0,3.0,Newark,69.0,1625.0,69.0,114.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/148-4th-Ave-07104/home/36240189,NJMLS,21004354,Y,Y,40.7575692,-74.1738828
404,MLS Listing,69,Single Family Residential,193 GARSIDE St,Newark,NJ,7104,320000.0,6.0,2.0,Newark,69.0,69.0,69.0,22.0,69.0,69.0,Active,69,69,http://www.redfin.com/NJ/Newark/193-Garside-St-07104/home/36239888,HCMLS,210016792,Y,Y,40.7581854,-74.1738025
405,PAST SALE,June-30-2010,Multi-Family (2-4 Unit),194-196 HOBSON St,Newark City,NJ,07112-1324,190000.0,69.0,69.0,Newark City,69.0,3920.0,69.0,4053.0,69.0,69.0,Sold,69,69,http://www.redfin.com/NJ/Newark/194-Hobson-St-07112/home/36280560,GSMLS,2752099,Y,Y,40.7134506,-74.2191899
